Name,Sector,City,State,Founded_Year,Funding_Stage,Investment_Type,Amount_Raised,Investors_Count,Valuation_Post_Funding,Revenue,Profitability,Number_of_Employees,Tech_Stack,Customer_Base_Size,Growth_Rate,Exit_Status,Social_Media_Followers,Patents,ESG_Score,Diversity_Index,Net_Impact_Score,Funding_Year
Startup_13,HealthTech,Chennai,Tamil Nadu,2009,Series D,Equity,3531134,8,14166093,2197578,Yes,490,Cloud,56119,25.44,No,40461,12,6.91,65.1,3.99,2018
Startup_14,EdTech,Pune,Maharashtra,2005,Series B,Convertible Note,6137037,10,82660993,2832470,Yes,441,AI,39478,28.42,Yes,84736,13,1.83,39.69,2.5,2017
Startup_15,FinTech,Delhi,Telangana,2000,Series A,Convertible Note,8500088,5,72405267,1758907,No,462,AR/VR,55827,43.56,Yes,77064,12,9.82,37.49,2.04,2022
Startup_16,AgriTech,Delhi,Karnataka,2001,Series A,Convertible Note,5886489,9,56847574,2940892,No,327,IoT,37729,47.9,No,29637,11,6.78,33.87,9.83,2015
Startup_17,HealthTech,Pune,Tamil Nadu,2002,Series C,Grant,2387374,2,84143236,3303768,Yes,224,AR/VR,56172,18.5,No,57354,2,4.37,49.12,5.8,2022
Startup_18,EdTech,Mumbai,Maharashtra,2001,IPO,Debt,6416365,6,3966582,4328859,Yes,455,Big Data,54532,26.93,No,66242,11,1.22,76.0,5.16,2023
Startup_19,HealthTech,Chennai,Maharashtra,2009,Series D,Debt,8828450,1,82821406,1047997,No,63,AI,36734,35.37,Yes,57488,19,5.97,56.94,6.11,2022
Startup_20,FoodTech,Hyderabad,Maharashtra,2004,Series B,Equity,933246,4,9696528,359369,No,69,IoT,51082,22.49,Yes,20621,5,6.52,35.25,1.97,2018
Startup_21,EdTech,Mumbai,Telangana,2004,Series D,Equity,7328846,5,45904727,332395,Yes,195,Big Data,79823,21.88,No,50180,7,9.66,53.81,2.11,2015
Startup_22,AgriTech,Pune,Karnataka,2001,Series A,Convertible Note,3532731,9,68251952,3425195,No,241,Cloud,24847,20.96,No,81558,18,6.36,46.93,5.02,2023
Startup_23,Retail,Delhi,Delhi,2013,Series A,Equity,9845349,2,86108927,553442,No,283,IoT,38975,38.19,Yes,2658,1,2.62,62.1,8.89,2018
Startup_24,HealthTech,Delhi,Delhi,2003,Series B,Grant,7722948,10,41047820,1368957,Yes,13,Cloud,68360,39.21,No,61898,18,8.91,68.44,8.32,2019
Startup_25,Retail,Hyderabad,Delhi,2004,Series D,Debt,1630750,3,26310628,557258,No,246,AI,92662,23.55,Yes,80286,11,5.31,53.21,2.74,2018
Startup_26,TravelTech,Mumbai,Maharashtra,2009,Seed,Convertible Note,9532773,10,53993023,4340612,No,210,Big Data,99732,46.28,No,26926,15,6.68,51.25,9.35,2017
Startup_27,EdTech,Pune,Delhi,2003,Series C,Grant,6169954,4,95138955,1695218,No,223,AR/VR,9020,11.03,Yes,19312,14,5.0,38.34,5.68,2017
Startup_28,Retail,Chennai,Karnataka,2009,Series D,Debt,6930487,10,29507466,995535,Yes,340,AI,4621,37.89,Yes,29134,15,7.94,69.1,9.65,2016
Startup_29,FinTech,Hyderabad,Delhi,2015,IPO,Convertible Note,5080540,5,64883035,3509654,No,34,Big Data,73346,18.44,No,78639,8,7.03,49.59,5.16,2018
Startup_30,Retail,Bangalore,Karnataka,2014,Series C,Debt,651650,10,52931244,2521057,Yes,248,AI,43388,7.56,No,73129,8,5.53,62.26,6.47,2023
Startup_31,FinTech,Chennai,Delhi,2011,Series C,Equity,7805143,8,50008834,3133875,Yes,74,Big Data,36646,32.88,No,11140,19,8.61,77.35,7.34,2020
Startup_32,EdTech,Chennai,Tamil Nadu,2015,Series C,Grant,2493088,9,65596350,2312033,Yes,294,AI,59532,8.59,No,21364,18,4.0,70.42,6.17,2019
Startup_33,HealthTech,Chennai,Telangana,2008,Series D,Grant,7969411,10,42111051,4824471,Yes,91,IoT,57522,42.4,No,98044,10,6.85,64.28,8.28,2021
Startup_34,AgriTech,Pune,Delhi,2010,Series B,Grant,5358991,4,35328352,220963,No,131,Blockchain,48616,43.75,No,86119,20,5.31,22.14,5.02,2019
Startup_35,Retail,Bangalore,Telangana,2004,Series C,Grant,4133525,10,76774701,1101590,Yes,159,Cloud,99826,49.05,No,52831,5,3.66,53.89,3.55,2017
Startup_36,TravelTech,Chennai,Karnataka,2003,Series D,Grant,8495692,7,86029696,1294082,Yes,141,AR/VR,50031,14.41,Yes,27702,20,8.95,32.14,5.79,2023
Startup_37,AgriTech,Pune,Tamil Nadu,2013,Series D,Convertible Note,6365023,8,71796811,4623616,No,459,AI,47522,30.66,Yes,33887,5,4.22,47.06,5.36,2018
Startup_38,FinTech,Bangalore,Telangana,2000,Series D,Convertible Note,560233,7,55867572,3876163,Yes,305,Cloud,13185,34.05,Yes,14588,20,3.69,38.03,5.95,2018
Startup_39,AgriTech,Delhi,Delhi,2004,Seed,Convertible Note,921984,5,55695624,1319986,No,387,Big Data,56601,26.57,No,76865,11,6.6,66.31,5.53,2016
Startup_40,FinTech,Bangalore,Maharashtra,2017,Series D,Grant,9998407,2,72709839,356029,Yes,252,AI,95890,47.85,Yes,33445,12,1.22,48.61,6.85,2023
Startup_41,AgriTech,Bangalore,Delhi,2014,Seed,Grant,5407823,1,72036089,4217129,Yes,401,IoT,98841,48.91,No,44546,8,7.43,70.23,4.79,2022
Startup_42,FoodTech,Chennai,Karnataka,2021,Series C,Convertible Note,321237,8,47956879,519328,Yes,355,AR/VR,7063,31.84,No,81773,4,2.01,45.24,1.06,2016
Startup_43,HealthTech,Pune,Telangana,2020,Seed,Convertible Note,1482955,3,42578168,1232685,No,38,AI,1967,23.35,Yes,98070,3,3.83,28.07,2.83,2016
Startup_44,Retail,Mumbai,Delhi,2018,Seed,Convertible Note,5547728,6,65401382,3165566,No,148,Big Data,84007,13.42,Yes,56049,10,6.1,25.37,1.88,2019
Startup_45,AgriTech,Mumbai,Telangana,2011,Series B,Equity,634784,3,9575787,1307309,Yes,325,AR/VR,10225,14.47,Yes,22113,4,5.81,47.62,3.89,2018
Startup_46,EdTech,Mumbai,Telangana,2001,Series A,Convertible Note,7382230,7,84921169,4152497,No,391,IoT,91033,18.22,No,64399,7,6.81,27.91,8.39,2020
Startup_47,EdTech,Chennai,Delhi,2011,Series C,Grant,1093791,9,85617344,3946169,Yes,380,IoT,86463,40.78,No,78609,11,7.18,23.61,2.37,2022
Startup_48,EdTech,Hyderabad,Telangana,2015,Series D,Grant,7023928,8,44632956,1850099,No,371,AI,41597,36.48,No,95815,16,9.52,46.06,1.56,2023
Startup_49,FinTech,Chennai,Karnataka,2006,Series D,Grant,574553,8,51000256,653465,Yes,446,IoT,13781,14.52,Yes,85131,4,4.51,41.53,6.31,2019
Startup_50,FinTech,Pune,Delhi,2014,Series C,Equity,6606903,6,14062438,2140418,No,134,Big Data,8560,39.75,Yes,95744,6,4.04,45.57,8.31,2022
Startup_51,FinTech,Delhi,Karnataka,2022,IPO,Debt,4287835,7,50882697,4919247,Yes,279,AI,22421,40.65,Yes,16341,9,1.9,64.3,5.19,2022
Startup_52,FinTech,Chennai,Delhi,2013,Series C,Grant,6089148,7,13521879,4169596,No,113,AR/VR,60407,20.35,Yes,23815,4,2.28,77.27,3.03,2021
Startup_53,HealthTech,Bangalore,Delhi,2011,IPO,Convertible Note,1541783,7,51059696,3537374,No,239,Blockchain,53187,42.93,Yes,59799,14,1.24,61.27,6.77,2016
Startup_54,AgriTech,Delhi,Telangana,2003,Series C,Equity,1113719,10,34114095,1275849,Yes,222,Blockchain,2629,40.25,Yes,62569,13,2.84,31.78,6.18,2018
Startup_55,TravelTech,Pune,Tamil Nadu,2014,Series B,Grant,5971861,5,35393758,1462415,Yes,37,IoT,52767,21.75,No,69991,19,3.58,39.43,3.8,2018
Startup_56,TravelTech,Mumbai,Karnataka,2005,Series D,Convertible Note,4834387,2,94558117,1898832,No,350,Cloud,34764,17.73,No,36761,3,8.02,46.64,8.7,2022
Startup_57,EdTech,Chennai,Tamil Nadu,2001,Series B,Grant,9431124,1,11327563,186334,Yes,290,AI,59155,10.7,No,26263,6,7.58,43.12,1.58,2015
Startup_58,TravelTech,Delhi,Karnataka,2019,Seed,Debt,2626647,8,66412098,3230179,Yes,38,Cloud,10507,43.65,Yes,86842,6,6.3,67.13,4.22,2019
Startup_59,EdTech,Pune,Tamil Nadu,2018,IPO,Grant,9016274,4,85202481,1972435,Yes,197,Blockchain,10214,40.95,Yes,53206,14,5.05,78.26,8.31,2022
Startup_60,EdTech,Hyderabad,Delhi,2005,Series D,Convertible Note,9676626,10,48974347,2608498,No,77,AI,5695,43.09,No,15646,16,5.73,59.76,7.04,2023
Startup_61,HealthTech,Mumbai,Telangana,2001,IPO,Grant,9166580,4,72114096,3838138,No,207,Cloud,84324,24.77,No,6187,8,1.92,68.16,1.24,2016
Startup_62,EdTech,Mumbai,Telangana,2014,Series C,Debt,9785349,6,81226075,2914314,Yes,228,AR/VR,10215,44.3,Yes,24749,4,7.31,23.2,7.14,2015
Startup_63,FoodTech,Bangalore,Delhi,2000,Series D,Debt,4507298,2,36367713,4036773,No,253,IoT,60563,24.26,No,94065,15,6.41,70.81,1.06,2015
Startup_64,HealthTech,Hyderabad,Karnataka,2012,Series D,Grant,1677298,1,33650896,318963,Yes,337,Cloud,22175,30.65,Yes,99074,12,4.37,36.47,5.53,2019
Startup_65,FoodTech,Chennai,Delhi,2006,Series C,Grant,8917749,8,51347540,953012,No,161,AI,92139,32.08,Yes,17013,15,4.62,58.15,5.88,2015
Startup_66,FinTech,Mumbai,Karnataka,2010,Series B,Grant,1044013,6,92497283,4890867,No,30,Cloud,58528,45.22,Yes,69640,9,2.8,30.43,3.97,2023
Startup_67,AgriTech,Hyderabad,Karnataka,2020,Series D,Convertible Note,9150884,9,26274131,3173499,No,303,Big Data,28584,17.11,No,89716,13,6.69,49.73,2.5,2023
Startup_68,TravelTech,Mumbai,Delhi,2010,Series A,Equity,9985123,6,97651961,1048098,Yes,47,Big Data,13285,9.55,Yes,94421,15,8.39,28.37,6.35,2015
Startup_69,TravelTech,Hyderabad,Karnataka,2023,Seed,Convertible Note,9659710,7,1908211,776083,No,33,Cloud,19106,8.91,Yes,81907,2,7.59,37.57,4.1,2017
Startup_70,Retail,Mumbai,Maharashtra,2023,Series D,Equity,4835420,3,8467615,3839487,No,178,AR/VR,5077,47.48,No,79361,8,2.72,20.26,6.25,2017
Startup_71,FinTech,Pune,Telangana,2021,Series C,Debt,1070984,10,69434916,3391950,No,64,AI,65252,40.62,Yes,44786,11,7.59,40.47,5.43,2017
Startup_72,FoodTech,Delhi,Maharashtra,2016,Series A,Convertible Note,2777652,3,72138951,1352080,No,479,AR/VR,8796,13.53,No,69326,7,2.99,59.48,9.64,2017
Startup_73,AgriTech,Delhi,Tamil Nadu,2017,Series B,Debt,6060118,5,54636478,2505172,Yes,257,Cloud,19399,48.04,No,10786,16,6.05,76.75,6.27,2023
Startup_74,FinTech,Mumbai,Karnataka,2004,Series B,Convertible Note,7008387,5,98664758,3316611,No,309,Blockchain,29942,18.05,No,20616,1,7.31,45.69,9.47,2021
Startup_75,FoodTech,Mumbai,Karnataka,2006,Series A,Grant,7650389,4,58708375,115369,Yes,96,Big Data,58609,22.41,Yes,84682,0,4.13,40.0,2.05,2022
Startup_76,Retail,Pune,Karnataka,2019,Series A,Equity,9255429,7,77221075,1799015,Yes,135,Cloud,37072,8.26,No,66549,13,9.81,47.75,9.16,2019
Startup_77,EdTech,Delhi,Delhi,2000,Series A,Grant,1499798,6,38736110,4233757,Yes,266,Blockchain,25318,32.55,No,64577,13,8.55,64.87,8.61,2019
Startup_78,HealthTech,Chennai,Karnataka,2017,Seed,Equity,4473953,6,13154603,4985526,Yes,275,AI,19391,27.02,No,38597,2,6.07,70.48,3.59,2018
Startup_79,EdTech,Bangalore,Karnataka,2007,Series C,Equity,5630329,3,44556991,4919280,Yes,375,AI,34094,6.14,No,97142,12,6.57,69.25,4.18,2017
Startup_80,FoodTech,Pune,Delhi,2022,Series D,Equity,7062660,2,47338350,2459397,Yes,332,Cloud,74726,40.54,No,19332,19,5.45,51.43,6.39,2023
Startup_81,FinTech,Mumbai,Tamil Nadu,2006,Series B,Equity,4607073,10,18136921,286554,No,483,AR/VR,35963,38.24,No,74176,5,8.61,40.37,8.76,2016
Startup_82,TravelTech,Pune,Telangana,2007,IPO,Grant,2148923,2,60411718,1756146,Yes,283,IoT,34971,9.75,Yes,5429,13,7.75,29.47,2.36,2020
Startup_83,TravelTech,Delhi,Telangana,2009,Seed,Convertible Note,1736602,1,69165195,3753476,Yes,473,IoT,63058,16.58,Yes,22644,20,6.66,66.75,6.89,2021
Startup_84,Retail,Delhi,Delhi,2011,Series D,Debt,399479,5,17771661,1644111,Yes,496,AR/VR,37941,29.61,No,27821,13,2.8,59.9,4.21,2017
Startup_85,AgriTech,Mumbai,Delhi,2017,Series C,Debt,7284461,3,82937856,149409,No,373,AI,62728,7.14,Yes,91431,12,7.79,74.28,5.62,2019
Startup_86,FoodTech,Delhi,Telangana,2015,Seed,Convertible Note,5511130,9,78514395,1310403,No,316,Cloud,95991,31.78,No,30791,11,2.05,55.4,4.78,2022
Startup_87,FinTech,Bangalore,Tamil Nadu,2022,Series A,Equity,8064924,7,32371861,816449,Yes,492,Cloud,54588,24.72,No,55293,2,6.47,42.36,7.7,2020
Startup_88,FoodTech,Bangalore,Karnataka,2012,Series C,Equity,4958962,4,84671396,710396,Yes,60,AI,37615,8.32,Yes,39645,8,1.25,56.15,9.71,2021
Startup_89,AgriTech,Hyderabad,Delhi,2001,Seed,Grant,2980491,10,34525485,4844417,No,56,Cloud,53036,16.42,Yes,88790,11,4.17,22.85,2.34,2022
Startup_90,TravelTech,Mumbai,Telangana,2002,Series D,Grant,1811216,8,52773905,2406673,No,73,Blockchain,55675,12.72,Yes,99240,8,8.11,68.01,3.07,2015
Startup_91,EdTech,Pune,Karnataka,2006,Series D,Debt,5013307,6,29595100,1210405,No,283,Cloud,50459,27.71,Yes,58972,18,6.93,76.25,6.72,2022
Startup_92,AgriTech,Delhi,Karnataka,2005,Series B,Convertible Note,4524257,10,77042494,345999,No,96,IoT,83638,32.04,No,58823,18,6.74,45.77,9.52,2022
Startup_93,AgriTech,Delhi,Maharashtra,2019,Seed,Equity,3041452,6,9121868,4089653,Yes,195,Big Data,40242,49.17,Yes,52830,0,4.51,27.36,8.61,2022
Startup_94,AgriTech,Bangalore,Karnataka,2003,Series B,Equity,670025,2,25598797,3840540,No,320,AI,36787,37.91,No,94380,7,4.05,41.2,7.9,2015
Startup_95,TravelTech,Pune,Delhi,2022,Series A,Grant,2203409,3,24497883,3423571,Yes,434,AI,40149,31.54,No,45453,2,3.08,61.23,4.48,2016
Startup_96,FoodTech,Mumbai,Tamil Nadu,2006,Series D,Equity,3391126,7,12870669,2202054,No,88,AI,68206,46.65,No,39982,11,8.38,78.94,5.11,2018
Startup_97,Retail,Bangalore,Maharashtra,2019,Seed,Convertible Note,4334880,2,60836601,3420277,No,465,Cloud,49887,27.76,No,13513,10,5.01,51.5,5.33,2020
Startup_98,EdTech,Delhi,Tamil Nadu,2005,IPO,Equity,3907422,7,4891753,4850342,Yes,127,Big Data,34974,24.61,Yes,90377,15,5.93,58.62,6.63,2017
Startup_99,AgriTech,Pune,Tamil Nadu,2017,Seed,Debt,6469775,2,51892168,2806609,Yes,486,Big Data,10675,14.57,No,24211,13,3.18,64.34,1.71,2016
Startup_100,HealthTech,Hyderabad,Karnataka,2005,Series D,Equity,5803199,7,90818896,1153466,Yes,98,Cloud,92858,19.3,No,8196,18,6.12,27.46,5.66,2023
Startup_101,EdTech,Mumbai,Maharashtra,2007,Series C,Grant,7013151,8,76860868,2952305,Yes,125,Big Data,13832,37.68,No,38041,8,2.48,63.7,4.0,2018
Startup_102,AgriTech,Hyderabad,Telangana,2023,Seed,Debt,1088218,8,12935212,2037793,No,85,IoT,2946,44.1,No,8659,18,6.33,73.75,7.5,2016
Startup_103,EdTech,Pune,Maharashtra,2008,Series C,Convertible Note,5022490,7,89932085,4805848,No,311,Big Data,59050,20.89,No,56232,18,6.24,35.78,4.04,2018
Startup_104,Retail,Bangalore,Maharashtra,2021,Seed,Convertible Note,6361869,2,43552780,2726839,Yes,255,Blockchain,68416,30.08,Yes,60944,4,3.8,42.14,2.21,2023
Startup_105,TravelTech,Mumbai,Karnataka,2007,Series D,Debt,374705,1,2563347,2671647,Yes,304,IoT,40469,22.07,Yes,31498,5,5.77,37.24,9.44,2023
Startup_106,TravelTech,Mumbai,Delhi,2009,Series C,Debt,9651229,10,20662742,3165548,No,319,Cloud,67130,41.76,Yes,62754,19,1.26,48.82,7.06,2023
Startup_107,Retail,Delhi,Tamil Nadu,2011,Series B,Grant,8832587,3,35818671,2542909,Yes,489,Cloud,32964,8.19,Yes,95344,20,4.07,21.65,3.19,2019
Startup_108,FoodTech,Mumbai,Karnataka,2017,Series D,Grant,9284074,10,61290937,1920230,No,241,IoT,91185,45.79,Yes,80337,13,6.01,26.22,2.84,2015
Startup_109,EdTech,Chennai,Tamil Nadu,2019,Seed,Grant,9354542,7,44562714,3369033,No,383,Big Data,62393,12.6,No,1260,20,6.64,23.98,7.09,2022
Startup_110,Retail,Hyderabad,Maharashtra,2020,IPO,Debt,9708645,3,42571463,3867029,Yes,73,Cloud,10562,9.65,No,24295,19,4.69,72.37,7.06,2022
Startup_111,TravelTech,Pune,Delhi,2001,Series C,Equity,6438205,5,12806131,4337342,No,490,AI,16624,20.32,No,2959,11,2.41,49.66,8.42,2017
Startup_112,AgriTech,Pune,Karnataka,2010,Series C,Grant,2105807,5,94313350,2245643,No,403,Big Data,66961,32.0,Yes,16069,2,3.2,75.21,4.42,2023
Startup_113,HealthTech,Pune,Telangana,2013,Series A,Grant,6187955,3,92908224,1537029,Yes,174,IoT,25030,18.01,Yes,70510,4,9.04,48.94,4.75,2022
Startup_114,AgriTech,Chennai,Tamil Nadu,2006,Series C,Convertible Note,9159498,10,83030484,2710365,No,452,Big Data,42553,35.24,No,57631,9,4.93,66.44,3.98,2019
Startup_115,FoodTech,Mumbai,Delhi,2014,Series A,Grant,5267254,6,39522709,1741921,No,408,IoT,87075,13.06,Yes,54462,17,2.44,77.99,4.16,2021
Startup_116,EdTech,Mumbai,Tamil Nadu,2013,Series B,Grant,540498,7,4643976,2350683,No,198,Cloud,50529,22.28,No,25203,9,4.54,74.3,8.9,2022
Startup_117,FinTech,Hyderabad,Telangana,2007,Series C,Equity,2505424,7,23055700,637574,No,495,AI,3380,31.31,Yes,56014,9,6.81,76.15,2.48,2015
Startup_118,AgriTech,Hyderabad,Telangana,2016,Series A,Debt,2642368,3,79404946,3766888,No,371,AR/VR,68315,45.55,Yes,48302,13,1.83,26.47,5.32,2016
Startup_119,TravelTech,Mumbai,Telangana,2014,Seed,Grant,3242742,3,81226727,4127673,Yes,56,AR/VR,94859,20.71,Yes,84160,20,5.86,39.3,4.34,2017
Startup_120,FinTech,Chennai,Tamil Nadu,2019,Series D,Equity,8145944,2,94564986,3419635,Yes,191,Cloud,93621,31.27,Yes,23698,20,7.65,20.92,7.84,2015
Startup_121,Retail,Hyderabad,Tamil Nadu,2002,Seed,Debt,7190092,10,43931593,870383,Yes,489,AI,83713,18.26,Yes,53080,18,8.82,62.41,7.03,2022
Startup_122,HealthTech,Pune,Karnataka,2021,Series B,Grant,8098368,2,82011384,401403,Yes,134,IoT,42760,8.94,No,15246,17,1.76,29.13,6.1,2023
Startup_123,TravelTech,Hyderabad,Delhi,2002,Seed,Convertible Note,2631211,8,91797122,1816456,No,21,Big Data,99733,18.62,Yes,58997,7,8.78,51.45,6.19,2021
Startup_124,TravelTech,Mumbai,Karnataka,2008,Series A,Debt,3151219,2,37120684,3100035,Yes,419,AI,85811,35.71,No,86629,4,7.63,26.69,8.28,2015
Startup_125,EdTech,Bangalore,Tamil Nadu,2013,Series D,Grant,3398981,1,93050459,4548284,No,429,Cloud,22934,8.28,Yes,36160,9,8.68,40.09,8.69,2019
Startup_126,FinTech,Chennai,Telangana,2005,Series B,Debt,8796126,7,17667916,351536,No,44,Cloud,65207,46.49,No,22041,14,3.35,60.42,7.71,2020
Startup_127,HealthTech,Hyderabad,Tamil Nadu,2014,Series C,Debt,1845712,7,26784699,653646,No,177,AI,38251,17.88,No,66867,0,1.18,76.81,1.79,2020
Startup_128,FoodTech,Hyderabad,Maharashtra,2009,Series C,Equity,9293826,5,47992785,2716043,No,46,AR/VR,60452,18.35,No,97804,11,3.82,64.73,7.29,2023
Startup_129,EdTech,Hyderabad,Maharashtra,2012,Seed,Convertible Note,5876337,3,70372779,827089,Yes,378,Blockchain,95224,26.97,No,65004,12,8.19,68.07,8.81,2017
Startup_130,HealthTech,Bangalore,Delhi,2009,Series B,Grant,3820009,10,61021324,615816,No,348,Cloud,81471,45.71,No,67965,0,9.14,63.68,1.98,2015
Startup_131,EdTech,Mumbai,Tamil Nadu,2010,Series A,Grant,8226081,2,97423858,4655443,No,220,Cloud,4484,34.26,Yes,21709,1,2.3,46.71,9.36,2023
Startup_132,FoodTech,Pune,Karnataka,2023,Series A,Grant,9013861,10,48020163,1661005,No,486,Cloud,59103,7.74,Yes,80331,3,3.28,34.45,1.79,2015
Startup_133,Retail,Bangalore,Tamil Nadu,2001,IPO,Convertible Note,3887447,2,65946699,1376605,Yes,12,AI,37246,49.1,No,29450,18,2.66,54.89,2.1,2019
Startup_134,FoodTech,Bangalore,Telangana,2020,Series B,Equity,9532041,1,2385432,2565319,No,447,AI,9122,39.7,No,68486,4,7.27,78.26,2.88,2020
Startup_135,AgriTech,Pune,Tamil Nadu,2016,Seed,Equity,7733331,8,46697299,1623453,Yes,457,Big Data,89259,36.83,No,41656,6,8.97,50.84,3.83,2018
Startup_136,Retail,Delhi,Telangana,2016,Series D,Grant,2148962,4,11043827,1473718,Yes,191,Blockchain,70389,6.03,Yes,72279,1,3.7,59.69,1.93,2016
Startup_137,FinTech,Mumbai,Maharashtra,2005,Series D,Convertible Note,9608113,3,17565383,217349,No,468,AI,81552,16.76,No,72112,1,1.64,30.14,5.95,2015
Startup_138,EdTech,Mumbai,Delhi,2002,IPO,Convertible Note,9363508,9,12732656,2580158,No,257,Blockchain,59169,23.33,Yes,37249,0,1.46,23.82,5.65,2016
Startup_139,FoodTech,Chennai,Delhi,2001,IPO,Grant,2510001,6,35996947,258838,No,472,Big Data,8233,37.54,Yes,18175,0,8.74,44.17,7.22,2018
Startup_140,FoodTech,Chennai,Tamil Nadu,2015,Series A,Debt,6081888,5,96060816,930624,No,120,AR/VR,10599,30.94,No,95172,13,4.05,68.28,1.88,2016
Startup_141,Retail,Bangalore,Telangana,2020,IPO,Grant,3947672,1,98565421,2447792,No,342,AI,50691,23.64,Yes,61579,14,3.27,60.43,4.22,2022
Startup_142,EdTech,Chennai,Delhi,2018,IPO,Grant,4327927,3,32215707,2100683,No,465,Big Data,51628,35.62,No,70757,7,7.83,38.18,4.64,2022
Startup_143,HealthTech,Mumbai,Maharashtra,2018,Series C,Equity,4322771,3,41223953,632330,No,260,Cloud,96436,11.63,No,98731,15,8.33,55.94,6.71,2018
Startup_144,AgriTech,Mumbai,Karnataka,2023,Series C,Convertible Note,3634766,2,22630465,4225117,Yes,322,IoT,38422,29.5,Yes,37921,3,4.85,39.08,7.94,2016
Startup_145,Retail,Pune,Telangana,2009,Series C,Equity,7473042,10,22931006,138062,Yes,91,AR/VR,21028,28.46,Yes,17644,10,4.95,51.56,1.17,2018
Startup_146,FoodTech,Bangalore,Karnataka,2002,Series A,Equity,2936660,2,88746431,2120423,No,414,Blockchain,81104,13.82,Yes,87486,14,1.62,38.39,9.17,2023
Startup_147,HealthTech,Mumbai,Telangana,2013,Series C,Convertible Note,5339196,10,66637762,2977301,No,314,Cloud,5383,25.67,No,68983,10,6.29,62.17,5.72,2018
Startup_148,FoodTech,Bangalore,Tamil Nadu,2014,IPO,Convertible Note,599034,7,57199850,1582893,Yes,178,Cloud,21953,29.2,No,25236,12,9.79,24.75,4.88,2017
Startup_149,Retail,Mumbai,Maharashtra,2009,Series B,Grant,4173539,2,38431721,658555,Yes,51,IoT,3326,12.34,Yes,65581,4,2.41,77.37,2.48,2022
Startup_150,Retail,Delhi,Karnataka,2003,Series A,Equity,6854558,10,83850575,1453990,Yes,194,Blockchain,20898,40.78,No,36693,6,9.8,74.69,6.59,2020
Startup_151,AgriTech,Bangalore,Karnataka,2018,Series A,Equity,2094307,4,51462404,291948,No,424,IoT,81580,18.06,Yes,34621,4,5.28,26.0,3.72,2023
Startup_152,TravelTech,Chennai,Telangana,2005,Series D,Debt,5134459,9,25349884,3271608,No,99,Cloud,75254,24.63,No,41246,9,5.46,62.13,5.27,2018
Startup_153,TravelTech,Bangalore,Telangana,2021,Seed,Debt,5915653,2,40211082,348340,No,165,Big Data,82540,20.61,No,76247,8,5.9,76.48,7.97,2022
Startup_154,FinTech,Delhi,Delhi,2005,Series A,Equity,6231712,1,67344205,2174347,No,304,AR/VR,36444,45.31,No,58115,4,8.79,67.03,5.68,2021
